COUNTY_FIPS,MECS_FT,SECTOR,MMBTU
1011,Residual_fuel_oil,Agriculture,0
1011,Residual_fuel_oil,Manufacturing,4296.455424
1013,Coal,Manufacturing,0
1013,Coke_and_breeze,Manufacturing,0
1013,Diesel,Agriculture,66933.28827
1013,Diesel,Construction,30637.3802
1013,Diesel,Manufacturing,8051.962158
1013,LPG_NGL,Agriculture,29199.65016
1013,LPG_NGL,Construction,1183.904192
1013,LPG_NGL,Manufacturing,1125.750543
1013,Natural_gas,Construction,11153.71694
1013,Natural_gas,Manufacturing,51850.97698
1013,Net_electricity,Agriculture,56376.98626
1013,Net_electricity,Construction,8053.655897
1013,Net_electricity,Manufacturing,112423.3308
1013,Other,Agriculture,18903.82261
1013,Other,Manufacturing,9533.594881
1013,Residual_fuel_oil,Agriculture,0
1013,Residual_fuel_oil,Manufacturing,0
1015,Coal,Manufacturing,293065.4249
1015,Coal,Mining,17013.28853
1015,Coke_and_breeze,Manufacturing,207255.2422
1015,Diesel,Agriculture,79849.46817
1015,Diesel,Construction,149496.4296
1015,Diesel,Manufacturing,73787.80576
1015,Diesel,Mining,13247.52423
1015,LPG_NGL,Agriculture,34834.33426
1015,LPG_NGL,Construction,5651.814807
1015,LPG_NGL,Manufacturing,31709.24968
1015,Natural_gas,Construction,48488.96338
1015,Natural_gas,Manufacturing,2590594.212
1015,Natural_gas,Mining,4709.32908
1015,Net_electricity,Agriculture,47568.44523
1015,Net_electricity,Construction,36957.9501
1015,Net_electricity,Manufacturing,1439591.522
1015,Net_electricity,Mining,14452.20325
1015,Other,Agriculture,22551.71113
1015,Other,Manufacturing,1978729.897
1015,Other,Mining,7421.878512
1015,Residual_fuel_oil,Agriculture,0
1015,Residual_fuel_oil,Manufacturing,3730.163272
1015,Residual_fuel_oil,Mining,5093.376965
1017,Coal,Manufacturing,544.4781389
1017,Coke_and_breeze,Manufacturing,278.1486426
1017,Diesel,Agriculture,27685.89548
1017,Diesel,Construction,46878.0092
1017,Diesel,Manufacturing,5032.814583
1017,LPG_NGL,Agriculture,12077.97321
1017,LPG_NGL,Construction,1778.637115
1017,LPG_NGL,Manufacturing,1431.06891
1017,Natural_gas,Construction,17227.5264
1017,Natural_gas,Manufacturing,1401430.442
1017,Net_electricity,Agriculture,12940.70124
1017,Net_electricity,Construction,10297.11583
1017,Net_electricity,Manufacturing,329970.4372
1017,Other,Agriculture,7819.267072
1017,Other,Manufacturing,28518.78107
1017,Residual_fuel_oil,Agriculture,0
1017,Residual_fuel_oil,Manufacturing,62.81549167
1019,Coal,Manufacturing,16726.89278
1019,Coke_and_breeze,Manufacturing,0
1019,Diesel,Agriculture,122235.1158
1019,Diesel,Construction,36837.33997
1019,Diesel,Manufacturing,59975.07436
1019,LPG_NGL,Agriculture,53325.07505
1019,LPG_NGL,Construction,1465.69913
1019,LPG_NGL,Manufacturing,36067.18482
1019,Natural_gas,Construction,17133.81241
1019,Natural_gas,Manufacturing,544374.3354
1019,Net_electricity,Agriculture,67743.1166
1019,Net_electricity,Construction,9061.8511
1019,Net_electricity,Manufacturing,740558.1798
1019,Other,Agriculture,34522.59714
1019,Other,Manufacturing,530958.8815
1019,Residual_fuel_oil,Agriculture,0
1019,Residual_fuel_oil,Manufacturing,29672.4375
1021,Coal,Manufacturing,32.55318137
1021,Coal,Mining,3292.976734
1021,Coke_and_breeze,Manufacturing,9023.52562
1021,Diesel,Agriculture,56189.96844
1021,Diesel,Construction,84883.51932
1021,Diesel,Manufacturing,18344.03993
1021,Diesel,Mining,9987.752825
1021,LPG_NGL,Agriculture,24512.87638
1021,LPG_NGL,Construction,3164.383446
1021,LPG_NGL,Manufacturing,1838.460574
1021,Natural_gas,Construction,28029.2635
1021,Natural_gas,Manufacturing,51757.09083
1021,Natural_gas,Mining,2612.74657
1021,Net_electricity,Agriculture,36587.53464
1021,Net_electricity,Construction,17999.93716
1021,Net_electricity,Manufacturing,95582.2305
1021,Net_electricity,Mining,6832.271069
1021,Other,Agriculture,15869.61022
1021,Other,Manufacturing,47843.31546
1021,Other,Mining,5593.023576
1021,Residual_fuel_oil,Agriculture,0
1021,Residual_fuel_oil,Manufacturing,97.65230426
1021,Residual_fuel_oil,Mining,2222.877457
1023,Coal,Manufacturing,2432018.566
1023,Coal,Mining,5795.07446
1023,Coke_and_breeze,Manufacturing,278.1486426
1023,Diesel,Agriculture,22687.01494
1023,Diesel,Construction,10347.93271
1023,Diesel,Manufacturing,11936.35593
1023,Diesel,Mining,20362.7458
1023,LPG_NGL,Agriculture,9897.211338
1023,LPG_NGL,Construction,373.2875344
1023,LPG_NGL,Manufacturing,142.4511931
1023,Natural_gas,Construction,2274.825061
1023,Natural_gas,Manufacturing,6223070.105
1023,Natural_gas,Mining,161561.9965
1023,Net_electricity,Agriculture,15606.24036
1023,Net_electricity,Construction,2412.460839
1023,Net_electricity,Manufacturing,1004916.963
1023,Net_electricity,Mining,22353.92086
1023,Other,Agriculture,6407.444144
1023,Other,Manufacturing,10395116.25
1023,Other,Mining,23262.48289
1023,Residual_fuel_oil,Agriculture,0
1023,Residual_fuel_oil,Manufacturing,0
1023,Residual_fuel_oil,Mining,14636.5865
1025,Coal,Manufacturing,328.2815796
1025,Coal,Mining,6403.33384
1025,Coke_and_breeze,Manufacturing,2426.607124
1025,Diesel,Agriculture,27688.69113
1025,Diesel,Construction,28071.90818
1025,Diesel,Manufacturing,76294.29137
1025,Diesel,Mining,7621.207571
1025,LPG_NGL,Agriculture,12079.19281
1025,LPG_NGL,Construction,1065.225892
1025,LPG_NGL,Manufacturing,1510.52324
1025,Natural_gas,Construction,8252.807969
1025,Natural_gas,Manufacturing,3772963.725
1025,Natural_gas,Mining,150294.2219
